Year,Level,Division,Grade,Count
2018 - 2019,DIV,Colonial Heights City Public Schools,,2866
2018 - 2019,DIV,Colonial Heights City Public Schools,PK,51
2018 - 2019,DIV,Colonial Heights City Public Schools,KG,230
2018 - 2019,DIV,Colonial Heights City Public Schools,1,226
2018 - 2019,DIV,Colonial Heights City Public Schools,2,197
2018 - 2019,DIV,Colonial Heights City Public Schools,3,213
2018 - 2019,DIV,Colonial Heights City Public Schools,4,231
2018 - 2019,DIV,Colonial Heights City Public Schools,5,220
2018 - 2019,DIV,Colonial Heights City Public Schools,6,203
2018 - 2019,DIV,Colonial Heights City Public Schools,7,191
2018 - 2019,DIV,Colonial Heights City Public Schools,8,230
2018 - 2019,DIV,Colonial Heights City Public Schools,9,222
2018 - 2019,DIV,Colonial Heights City Public Schools,10,230
2018 - 2019,DIV,Colonial Heights City Public Schools,11,197
2018 - 2019,DIV,Colonial Heights City Public Schools,12,225
2018 - 2019,DIV,Covington City Public Schools,,1070
2018 - 2019,DIV,Covington City Public Schools,PK,54
2018 - 2019,DIV,Covington City Public Schools,KG,86
2018 - 2019,DIV,Covington City Public Schools,1,94
2018 - 2019,DIV,Covington City Public Schools,2,80
2018 - 2019,DIV,Covington City Public Schools,3,81
2018 - 2019,DIV,Covington City Public Schools,4,77
2018 - 2019,DIV,Covington City Public Schools,5,87
2018 - 2019,DIV,Covington City Public Schools,6,76
2018 - 2019,DIV,Covington City Public Schools,7,74
2018 - 2019,DIV,Covington City Public Schools,8,73
2018 - 2019,DIV,Covington City Public Schools,9,70
2018 - 2019,DIV,Covington City Public Schools,10,72
2018 - 2019,DIV,Covington City Public Schools,11,66
2018 - 2019,DIV,Covington City Public Schools,12,80
2018 - 2019,DIV,Craig County Public Schools,,602
2018 - 2019,DIV,Craig County Public Schools,PK,17
2018 - 2019,DIV,Craig County Public Schools,KG,45
2018 - 2019,DIV,Craig County Public Schools,1,39
2018 - 2019,DIV,Craig County Public Schools,2,31
2018 - 2019,DIV,Craig County Public Schools,3,46
2018 - 2019,DIV,Craig County Public Schools,4,35
2018 - 2019,DIV,Craig County Public Schools,5,47
2018 - 2019,DIV,Craig County Public Schools,6,51
2018 - 2019,DIV,Craig County Public Schools,7,41
2018 - 2019,DIV,Craig County Public Schools,8,38
2018 - 2019,DIV,Craig County Public Schools,9,54
2018 - 2019,DIV,Craig County Public Schools,10,45
2018 - 2019,DIV,Craig County Public Schools,11,57
2018 - 2019,DIV,Craig County Public Schools,12,56
2018 - 2019,DIV,Culpeper County Public Schools,,8235
2018 - 2019,DIV,Culpeper County Public Schools,PK,153
2018 - 2019,DIV,Culpeper County Public Schools,KG,571
2018 - 2019,DIV,Culpeper County Public Schools,1,605
2018 - 2019,DIV,Culpeper County Public Schools,2,563
2018 - 2019,DIV,Culpeper County Public Schools,3,606
2018 - 2019,DIV,Culpeper County Public Schools,4,622
2018 - 2019,DIV,Culpeper County Public Schools,5,658
2018 - 2019,DIV,Culpeper County Public Schools,6,671
2018 - 2019,DIV,Culpeper County Public Schools,7,665
2018 - 2019,DIV,Culpeper County Public Schools,8,583
2018 - 2019,DIV,Culpeper County Public Schools,9,726
2018 - 2019,DIV,Culpeper County Public Schools,10,606
2018 - 2019,DIV,Culpeper County Public Schools,11,609
2018 - 2019,DIV,Culpeper County Public Schools,12,597
2018 - 2019,DIV,Cumberland County Public Schools,,1366
2018 - 2019,DIV,Cumberland County Public Schools,PK,93
2018 - 2019,DIV,Cumberland County Public Schools,KG,105
2018 - 2019,DIV,Cumberland County Public Schools,1,83
2018 - 2019,DIV,Cumberland County Public Schools,2,85
2018 - 2019,DIV,Cumberland County Public Schools,3,90
2018 - 2019,DIV,Cumberland County Public Schools,4,93
2018 - 2019,DIV,Cumberland County Public Schools,5,96
2018 - 2019,DIV,Cumberland County Public Schools,6,104
2018 - 2019,DIV,Cumberland County Public Schools,7,97
2018 - 2019,DIV,Cumberland County Public Schools,8,101
2018 - 2019,DIV,Cumberland County Public Schools,9,86
2018 - 2019,DIV,Cumberland County Public Schools,10,113
2018 - 2019,DIV,Cumberland County Public Schools,11,113
2018 - 2019,DIV,Cumberland County Public Schools,12,107
2018 - 2019,DIV,Danville City Public Schools,,5686
2018 - 2019,DIV,Danville City Public Schools,PK,232
2018 - 2019,DIV,Danville City Public Schools,KG,425
