Year,Level,Division,Grade,Count
2020 - 2021,DIV,Madison County Public Schools,5,132
2020 - 2021,DIV,Madison County Public Schools,6,122
2020 - 2021,DIV,Madison County Public Schools,7,136
2020 - 2021,DIV,Madison County Public Schools,8,139
2020 - 2021,DIV,Madison County Public Schools,9,163
2020 - 2021,DIV,Madison County Public Schools,10,135
2020 - 2021,DIV,Madison County Public Schools,11,132
2020 - 2021,DIV,Madison County Public Schools,12,115
2020 - 2021,DIV,Manassas City Public Schools,,7607
2020 - 2021,DIV,Manassas City Public Schools,PK,227
2020 - 2021,DIV,Manassas City Public Schools,KG,556
2020 - 2021,DIV,Manassas City Public Schools,1,570
2020 - 2021,DIV,Manassas City Public Schools,2,574
2020 - 2021,DIV,Manassas City Public Schools,3,595
2020 - 2021,DIV,Manassas City Public Schools,4,538
2020 - 2021,DIV,Manassas City Public Schools,5,554
2020 - 2021,DIV,Manassas City Public Schools,6,591
2020 - 2021,DIV,Manassas City Public Schools,7,569
2020 - 2021,DIV,Manassas City Public Schools,8,606
2020 - 2021,DIV,Manassas City Public Schools,9,565
2020 - 2021,DIV,Manassas City Public Schools,10,567
2020 - 2021,DIV,Manassas City Public Schools,11,531
2020 - 2021,DIV,Manassas City Public Schools,12,564
2020 - 2021,DIV,Manassas Park City Public Schools,,3500
2020 - 2021,DIV,Manassas Park City Public Schools,PK,85
2020 - 2021,DIV,Manassas Park City Public Schools,KG,240
2020 - 2021,DIV,Manassas Park City Public Schools,1,226
2020 - 2021,DIV,Manassas Park City Public Schools,2,240
2020 - 2021,DIV,Manassas Park City Public Schools,3,258
2020 - 2021,DIV,Manassas Park City Public Schools,4,248
2020 - 2021,DIV,Manassas Park City Public Schools,5,249
2020 - 2021,DIV,Manassas Park City Public Schools,6,283
2020 - 2021,DIV,Manassas Park City Public Schools,7,274
2020 - 2021,DIV,Manassas Park City Public Schools,8,293
2020 - 2021,DIV,Manassas Park City Public Schools,9,266
2020 - 2021,DIV,Manassas Park City Public Schools,10,296
2020 - 2021,DIV,Manassas Park City Public Schools,11,270
2020 - 2021,DIV,Manassas Park City Public Schools,12,272
2020 - 2021,DIV,Martinsville City Public Schools,,1881
2020 - 2021,DIV,Martinsville City Public Schools,PK,74
2020 - 2021,DIV,Martinsville City Public Schools,KG,136
2020 - 2021,DIV,Martinsville City Public Schools,1,118
2020 - 2021,DIV,Martinsville City Public Schools,2,121
2020 - 2021,DIV,Martinsville City Public Schools,3,134
2020 - 2021,DIV,Martinsville City Public Schools,4,143
2020 - 2021,DIV,Martinsville City Public Schools,5,141
2020 - 2021,DIV,Martinsville City Public Schools,6,148
2020 - 2021,DIV,Martinsville City Public Schools,7,130
2020 - 2021,DIV,Martinsville City Public Schools,8,155
2020 - 2021,DIV,Martinsville City Public Schools,9,153
2020 - 2021,DIV,Martinsville City Public Schools,10,155
2020 - 2021,DIV,Martinsville City Public Schools,11,123
2020 - 2021,DIV,Martinsville City Public Schools,12,150
2020 - 2021,DIV,Mathews County Public Schools,,932
2020 - 2021,DIV,Mathews County Public Schools,PK,13
2020 - 2021,DIV,Mathews County Public Schools,KG,64
2020 - 2021,DIV,Mathews County Public Schools,1,56
2020 - 2021,DIV,Mathews County Public Schools,2,66
2020 - 2021,DIV,Mathews County Public Schools,3,62
2020 - 2021,DIV,Mathews County Public Schools,4,72
2020 - 2021,DIV,Mathews County Public Schools,5,66
2020 - 2021,DIV,Mathews County Public Schools,6,76
2020 - 2021,DIV,Mathews County Public Schools,7,82
2020 - 2021,DIV,Mathews County Public Schools,8,89
2020 - 2021,DIV,Mathews County Public Schools,9,76
2020 - 2021,DIV,Mathews County Public Schools,10,78
2020 - 2021,DIV,Mathews County Public Schools,11,67
2020 - 2021,DIV,Mathews County Public Schools,12,65
2020 - 2021,DIV,Mecklenburg County Public Schools,,4093
2020 - 2021,DIV,Mecklenburg County Public Schools,PK,145
2020 - 2021,DIV,Mecklenburg County Public Schools,KG,291
2020 - 2021,DIV,Mecklenburg County Public Schools,1,280
2020 - 2021,DIV,Mecklenburg County Public Schools,2,294
2020 - 2021,DIV,Mecklenburg County Public Schools,3,276
2020 - 2021,DIV,Mecklenburg County Public Schools,4,307
2020 - 2021,DIV,Mecklenburg County Public Schools,5,301
2020 - 2021,DIV,Mecklenburg County Public Schools,6,316
2020 - 2021,DIV,Mecklenburg County Public Schools,7,298
2020 - 2021,DIV,Mecklenburg County Public Schools,8,299
2020 - 2021,DIV,Mecklenburg County Public Schools,9,337
2020 - 2021,DIV,Mecklenburg County Public Schools,10,311
2020 - 2021,DIV,Mecklenburg County Public Schools,11,315
2020 - 2021,DIV,Mecklenburg County Public Schools,12,323
2020 - 2021,DIV,Middlesex County Public Schools,,1166
2020 - 2021,DIV,Middlesex County Public Schools,PK,66
2020 - 2021,DIV,Middlesex County Public Schools,KG,87
2020 - 2021,DIV,Middlesex County Public Schools,1,84
2020 - 2021,DIV,Middlesex County Public Schools,2,68
2020 - 2021,DIV,Middlesex County Public Schools,3,85
2020 - 2021,DIV,Middlesex County Public Schools,4,97
2020 - 2021,DIV,Middlesex County Public Schools,5,80
2020 - 2021,DIV,Middlesex County Public Schools,6,94
2020 - 2021,DIV,Middlesex County Public Schools,7,85
2020 - 2021,DIV,Middlesex County Public Schools,8,93
2020 - 2021,DIV,Middlesex County Public Schools,9,81
2020 - 2021,DIV,Middlesex County Public Schools,10,84
2020 - 2021,DIV,Middlesex County Public Schools,11,78
2020 - 2021,DIV,Middlesex County Public Schools,12,84
2020 - 2021,DIV,Montgomery County Public Schools,,9711
2020 - 2021,DIV,Montgomery County Public Schools,PK,198
2020 - 2021,DIV,Montgomery County Public Schools,KG,673
2020 - 2021,DIV,Montgomery County Public Schools,1,665
2020 - 2021,DIV,Montgomery County Public Schools,2,709
2020 - 2021,DIV,Montgomery County Public Schools,3,748
2020 - 2021,DIV,Montgomery County Public Schools,4,712
2020 - 2021,DIV,Montgomery County Public Schools,5,722
2020 - 2021,DIV,Montgomery County Public Schools,6,706
2020 - 2021,DIV,Montgomery County Public Schools,7,760
2020 - 2021,DIV,Montgomery County Public Schools,8,816
2020 - 2021,DIV,Montgomery County Public Schools,9,741
2020 - 2021,DIV,Montgomery County Public Schools,10,789
2020 - 2021,DIV,Montgomery County Public Schools,11,712
2020 - 2021,DIV,Montgomery County Public Schools,12,760
2020 - 2021,DIV,Nelson County Public Schools,,1596
2020 - 2021,DIV,Nelson County Public Schools,PK,17
2020 - 2021,DIV,Nelson County Public Schools,KG,87
2020 - 2021,DIV,Nelson County Public Schools,1,95
2020 - 2021,DIV,Nelson County Public Schools,2,91
2020 - 2021,DIV,Nelson County Public Schools,3,130
2020 - 2021,DIV,Nelson County Public Schools,4,105
2020 - 2021,DIV,Nelson County Public Schools,5,115
2020 - 2021,DIV,Nelson County Public Schools,6,119
2020 - 2021,DIV,Nelson County Public Schools,7,124
2020 - 2021,DIV,Nelson County Public Schools,8,143
2020 - 2021,DIV,Nelson County Public Schools,9,144
2020 - 2021,DIV,Nelson County Public Schools,10,139
2020 - 2021,DIV,Nelson County Public Schools,11,138
2020 - 2021,DIV,Nelson County Public Schools,12,149
2020 - 2021,DIV,New Kent County Public Schools,,3040
2020 - 2021,DIV,New Kent County Public Schools,PK,34
2020 - 2021,DIV,New Kent County Public Schools,KG,166
2020 - 2021,DIV,New Kent County Public Schools,1,189
2020 - 2021,DIV,New Kent County Public Schools,2,200
2020 - 2021,DIV,New Kent County Public Schools,3,213
2020 - 2021,DIV,New Kent County Public Schools,4,224
2020 - 2021,DIV,New Kent County Public Schools,5,209
2020 - 2021,DIV,New Kent County Public Schools,6,248
2020 - 2021,DIV,New Kent County Public Schools,7,258
2020 - 2021,DIV,New Kent County Public Schools,8,269
2020 - 2021,DIV,New Kent County Public Schools,9,297
2020 - 2021,DIV,New Kent County Public Schools,10,263
2020 - 2021,DIV,New Kent County Public Schools,11,241
2020 - 2021,DIV,New Kent County Public Schools,12,229
2020 - 2021,DIV,Newport News City Public Schools,,27118
2020 - 2021,DIV,Newport News City Public Schools,PK,1047
2020 - 2021,DIV,Newport News City Public Schools,KG,1836
2020 - 2021,DIV,Newport News City Public Schools,1,2114
2020 - 2021,DIV,Newport News City Public Schools,2,2071
2020 - 2021,DIV,Newport News City Public Schools,3,2047
2020 - 2021,DIV,Newport News City Public Schools,4,2053
2020 - 2021,DIV,Newport News City Public Schools,5,2100
2020 - 2021,DIV,Newport News City Public Schools,6,2026
2020 - 2021,DIV,Newport News City Public Schools,7,2060
2020 - 2021,DIV,Newport News City Public Schools,8,2102
2020 - 2021,DIV,Newport News City Public Schools,9,2253
2020 - 2021,DIV,Newport News City Public Schools,10,2086
2020 - 2021,DIV,Newport News City Public Schools,11,1666
2020 - 2021,DIV,Newport News City Public Schools,12,1657
2020 - 2021,DIV,Norfolk City Public Schools,,27969
2020 - 2021,DIV,Norfolk City Public Schools,PG,14
2020 - 2021,DIV,Norfolk City Public Schools,PK,1278
2020 - 2021,DIV,Norfolk City Public Schools,KG,2082
2020 - 2021,DIV,Norfolk City Public Schools,1,2235
2020 - 2021,DIV,Norfolk City Public Schools,2,2196
2020 - 2021,DIV,Norfolk City Public Schools,3,2191
2020 - 2021,DIV,Norfolk City Public Schools,4,2192
2020 - 2021,DIV,Norfolk City Public Schools,5,2158
2020 - 2021,DIV,Norfolk City Public Schools,6,2159
2020 - 2021,DIV,Norfolk City Public Schools,7,2067
2020 - 2021,DIV,Norfolk City Public Schools,8,2054
2020 - 2021,DIV,Norfolk City Public Schools,9,2291
2020 - 2021,DIV,Norfolk City Public Schools,10,2017
2020 - 2021,DIV,Norfolk City Public Schools,11,1442
2020 - 2021,DIV,Norfolk City Public Schools,12,1593
2020 - 2021,DIV,Northampton County Public Schools,,1410
2020 - 2021,DIV,Northampton County Public Schools,PK,48
2020 - 2021,DIV,Northampton County Public Schools,KG,89
2020 - 2021,DIV,Northampton County Public Schools,1,101
2020 - 2021,DIV,Northampton County Public Schools,2,100
2020 - 2021,DIV,Northampton County Public Schools,3,86
2020 - 2021,DIV,Northampton County Public Schools,4,125
2020 - 2021,DIV,Northampton County Public Schools,5,110
2020 - 2021,DIV,Northampton County Public Schools,6,84
2020 - 2021,DIV,Northampton County Public Schools,7,112
2020 - 2021,DIV,Northampton County Public Schools,8,102
2020 - 2021,DIV,Northampton County Public Schools,9,123
2020 - 2021,DIV,Northampton County Public Schools,10,107
2020 - 2021,DIV,Northampton County Public Schools,11,118
2020 - 2021,DIV,Northampton County Public Schools,12,105
2020 - 2021,DIV,Northumberland County Public Schools,,1228
2020 - 2021,DIV,Northumberland County Public Schools,PK,33
2020 - 2021,DIV,Northumberland County Public Schools,KG,70
2020 - 2021,DIV,Northumberland County Public Schools,1,84
2020 - 2021,DIV,Northumberland County Public Schools,2,98
2020 - 2021,DIV,Northumberland County Public Schools,3,82
2020 - 2021,DIV,Northumberland County Public Schools,4,94
2020 - 2021,DIV,Northumberland County Public Schools,5,90
2020 - 2021,DIV,Northumberland County Public Schools,6,95
2020 - 2021,DIV,Northumberland County Public Schools,7,96
2020 - 2021,DIV,Northumberland County Public Schools,8,85
2020 - 2021,DIV,Northumberland County Public Schools,9,103
2020 - 2021,DIV,Northumberland County Public Schools,10,106
2020 - 2021,DIV,Northumberland County Public Schools,11,84
2020 - 2021,DIV,Northumberland County Public Schools,12,108
2020 - 2021,DIV,Norton City Public Schools,,861
2020 - 2021,DIV,Norton City Public Schools,PK,36
2020 - 2021,DIV,Norton City Public Schools,KG,61
2020 - 2021,DIV,Norton City Public Schools,1,72
2020 - 2021,DIV,Norton City Public Schools,2,60
2020 - 2021,DIV,Norton City Public Schools,3,55
2020 - 2021,DIV,Norton City Public Schools,4,55
2020 - 2021,DIV,Norton City Public Schools,5,65
2020 - 2021,DIV,Norton City Public Schools,6,67
2020 - 2021,DIV,Norton City Public Schools,7,64
2020 - 2021,DIV,Norton City Public Schools,8,64
2020 - 2021,DIV,Norton City Public Schools,9,55
2020 - 2021,DIV,Norton City Public Schools,10,69
2020 - 2021,DIV,Norton City Public Schools,11,75
2020 - 2021,DIV,Norton City Public Schools,12,63
2020 - 2021,DIV,Nottoway County Public Schools,,1878
2020 - 2021,DIV,Nottoway County Public Schools,PK,80
2020 - 2021,DIV,Nottoway County Public Schools,KG,122
2020 - 2021,DIV,Nottoway County Public Schools,1,135
2020 - 2021,DIV,Nottoway County Public Schools,2,145
2020 - 2021,DIV,Nottoway County Public Schools,3,133
2020 - 2021,DIV,Nottoway County Public Schools,4,134
2020 - 2021,DIV,Nottoway County Public Schools,5,123
2020 - 2021,DIV,Nottoway County Public Schools,6,147
2020 - 2021,DIV,Nottoway County Public Schools,7,130
2020 - 2021,DIV,Nottoway County Public Schools,8,153
2020 - 2021,DIV,Nottoway County Public Schools,9,162
2020 - 2021,DIV,Nottoway County Public Schools,10,143
2020 - 2021,DIV,Nottoway County Public Schools,11,143
2020 - 2021,DIV,Nottoway County Public Schools,12,128
2020 - 2021,DIV,Orange County Public Schools,,4907
2020 - 2021,DIV,Orange County Public Schools,PK,164
2020 - 2021,DIV,Orange County Public Schools,KG,331
2020 - 2021,DIV,Orange County Public Schools,1,339
2020 - 2021,DIV,Orange County Public Schools,2,348
2020 - 2021,DIV,Orange County Public Schools,3,355
2020 - 2021,DIV,Orange County Public Schools,4,395
2020 - 2021,DIV,Orange County Public Schools,5,349
2020 - 2021,DIV,Orange County Public Schools,6,371
2020 - 2021,DIV,Orange County Public Schools,7,390
2020 - 2021,DIV,Orange County Public Schools,8,404
2020 - 2021,DIV,Orange County Public Schools,9,393
2020 - 2021,DIV,Orange County Public Schools,10,373
2020 - 2021,DIV,Orange County Public Schools,11,356
2020 - 2021,DIV,Orange County Public Schools,12,339
2020 - 2021,DIV,Page County Public Schools,,3213
2020 - 2021,DIV,Page County Public Schools,PK,84
2020 - 2021,DIV,Page County Public Schools,KG,195
2020 - 2021,DIV,Page County Public Schools,1,228
2020 - 2021,DIV,Page County Public Schools,2,222
2020 - 2021,DIV,Page County Public Schools,3,221
2020 - 2021,DIV,Page County Public Schools,4,200
2020 - 2021,DIV,Page County Public Schools,5,208
2020 - 2021,DIV,Page County Public Schools,6,261
2020 - 2021,DIV,Page County Public Schools,7,251
2020 - 2021,DIV,Page County Public Schools,8,225
2020 - 2021,DIV,Page County Public Schools,9,280
2020 - 2021,DIV,Page County Public Schools,10,279
2020 - 2021,DIV,Page County Public Schools,11,291
2020 - 2021,DIV,Page County Public Schools,12,268
2020 - 2021,DIV,Patrick County Public Schools,,2517
2020 - 2021,DIV,Patrick County Public Schools,PK,111
2020 - 2021,DIV,Patrick County Public Schools,KG,357
2020 - 2021,DIV,Patrick County Public Schools,1,231
2020 - 2021,DIV,Patrick County Public Schools,2,145
2020 - 2021,DIV,Patrick County Public Schools,3,150
2020 - 2021,DIV,Patrick County Public Schools,4,158
2020 - 2021,DIV,Patrick County Public Schools,5,157
2020 - 2021,DIV,Patrick County Public Schools,6,141
2020 - 2021,DIV,Patrick County Public Schools,7,177
2020 - 2021,DIV,Patrick County Public Schools,8,164
2020 - 2021,DIV,Patrick County Public Schools,9,192
2020 - 2021,DIV,Patrick County Public Schools,10,186
2020 - 2021,DIV,Patrick County Public Schools,11,170
2020 - 2021,DIV,Patrick County Public Schools,12,178
2020 - 2021,DIV,Petersburg City Public Schools,,4045
2020 - 2021,DIV,Petersburg City Public Schools,PK,269
2020 - 2021,DIV,Petersburg City Public Schools,KG,324
2020 - 2021,DIV,Petersburg City Public Schools,1,341
2020 - 2021,DIV,Petersburg City Public Schools,2,323
2020 - 2021,DIV,Petersburg City Public Schools,3,309
2020 - 2021,DIV,Petersburg City Public Schools,4,322
2020 - 2021,DIV,Petersburg City Public Schools,5,315
2020 - 2021,DIV,Petersburg City Public Schools,6,319
2020 - 2021,DIV,Petersburg City Public Schools,7,282
2020 - 2021,DIV,Petersburg City Public Schools,8,290
2020 - 2021,DIV,Petersburg City Public Schools,9,272
2020 - 2021,DIV,Petersburg City Public Schools,10,263
2020 - 2021,DIV,Petersburg City Public Schools,11,215
2020 - 2021,DIV,Petersburg City Public Schools,12,201
2020 - 2021,DIV,Pittsylvania County Public Schools,,8213
2020 - 2021,DIV,Pittsylvania County Public Schools,PK,265
2020 - 2021,DIV,Pittsylvania County Public Schools,KG,459
2020 - 2021,DIV,Pittsylvania County Public Schools,1,508
2020 - 2021,DIV,Pittsylvania County Public Schools,2,546
2020 - 2021,DIV,Pittsylvania County Public Schools,3,546
2020 - 2021,DIV,Pittsylvania County Public Schools,4,589
2020 - 2021,DIV,Pittsylvania County Public Schools,5,564
2020 - 2021,DIV,Pittsylvania County Public Schools,6,647
2020 - 2021,DIV,Pittsylvania County Public Schools,7,685
2020 - 2021,DIV,Pittsylvania County Public Schools,8,662
2020 - 2021,DIV,Pittsylvania County Public Schools,9,726
2020 - 2021,DIV,Pittsylvania County Public Schools,10,713
2020 - 2021,DIV,Pittsylvania County Public Schools,11,627
2020 - 2021,DIV,Pittsylvania County Public Schools,12,676
2020 - 2021,DIV,Poquoson City Public Schools,,2090
2020 - 2021,DIV,Poquoson City Public Schools,PK,20
2020 - 2021,DIV,Poquoson City Public Schools,KG,142
2020 - 2021,DIV,Poquoson City Public Schools,1,121
2020 - 2021,DIV,Poquoson City Public Schools,2,126
2020 - 2021,DIV,Poquoson City Public Schools,3,153
2020 - 2021,DIV,Poquoson City Public Schools,4,151
2020 - 2021,DIV,Poquoson City Public Schools,5,136
2020 - 2021,DIV,Poquoson City Public Schools,6,160
2020 - 2021,DIV,Poquoson City Public Schools,7,184
2020 - 2021,DIV,Poquoson City Public Schools,8,174
2020 - 2021,DIV,Poquoson City Public Schools,9,177
2020 - 2021,DIV,Poquoson City Public Schools,10,195
2020 - 2021,DIV,Poquoson City Public Schools,11,176
2020 - 2021,DIV,Poquoson City Public Schools,12,175
2020 - 2021,DIV,Portsmouth City Public Schools,,13395
2020 - 2021,DIV,Portsmouth City Public Schools,PK,400
2020 - 2021,DIV,Portsmouth City Public Schools,KG,887
2020 - 2021,DIV,Portsmouth City Public Schools,1,1076
2020 - 2021,DIV,Portsmouth City Public Schools,2,1055
2020 - 2021,DIV,Portsmouth City Public Schools,3,1035
2020 - 2021,DIV,Portsmouth City Public Schools,4,1075
2020 - 2021,DIV,Portsmouth City Public Schools,5,1077
2020 - 2021,DIV,Portsmouth City Public Schools,6,1038
2020 - 2021,DIV,Portsmouth City Public Schools,7,1015
2020 - 2021,DIV,Portsmouth City Public Schools,8,909
2020 - 2021,DIV,Portsmouth City Public Schools,9,1030
2020 - 2021,DIV,Portsmouth City Public Schools,10,1029
2020 - 2021,DIV,Portsmouth City Public Schools,11,846
2020 - 2021,DIV,Portsmouth City Public Schools,12,923
2020 - 2021,DIV,Powhatan County Public Schools,,4212
2020 - 2021,DIV,Powhatan County Public Schools,PK,94
2020 - 2021,DIV,Powhatan County Public Schools,KG,266
2020 - 2021,DIV,Powhatan County Public Schools,1,289
2020 - 2021,DIV,Powhatan County Public Schools,2,269
2020 - 2021,DIV,Powhatan County Public Schools,3,277
2020 - 2021,DIV,Powhatan County Public Schools,4,315
2020 - 2021,DIV,Powhatan County Public Schools,5,291
2020 - 2021,DIV,Powhatan County Public Schools,6,315
2020 - 2021,DIV,Powhatan County Public Schools,7,338
2020 - 2021,DIV,Powhatan County Public Schools,8,317
2020 - 2021,DIV,Powhatan County Public Schools,9,388
2020 - 2021,DIV,Powhatan County Public Schools,10,367
2020 - 2021,DIV,Powhatan County Public Schools,11,337
2020 - 2021,DIV,Powhatan County Public Schools,12,349
2020 - 2021,DIV,Prince Edward County Public Schools,,1949
2020 - 2021,DIV,Prince Edward County Public Schools,PK,74
2020 - 2021,DIV,Prince Edward County Public Schools,KG,136
2020 - 2021,DIV,Prince Edward County Public Schools,1,138
2020 - 2021,DIV,Prince Edward County Public Schools,2,118
2020 - 2021,DIV,Prince Edward County Public Schools,3,154
2020 - 2021,DIV,Prince Edward County Public Schools,4,135
2020 - 2021,DIV,Prince Edward County Public Schools,5,146
2020 - 2021,DIV,Prince Edward County Public Schools,6,148
2020 - 2021,DIV,Prince Edward County Public Schools,7,162
2020 - 2021,DIV,Prince Edward County Public Schools,8,144
2020 - 2021,DIV,Prince Edward County Public Schools,9,147
2020 - 2021,DIV,Prince Edward County Public Schools,10,174
2020 - 2021,DIV,Prince Edward County Public Schools,11,127
2020 - 2021,DIV,Prince Edward County Public Schools,12,146
2020 - 2021,DIV,Prince George County Public Schools,,6099
2020 - 2021,DIV,Prince George County Public Schools,PK,139
2020 - 2021,DIV,Prince George County Public Schools,KG,454
2020 - 2021,DIV,Prince George County Public Schools,1,454
2020 - 2021,DIV,Prince George County Public Schools,2,439
2020 - 2021,DIV,Prince George County Public Schools,3,447
2020 - 2021,DIV,Prince George County Public Schools,4,433
2020 - 2021,DIV,Prince George County Public Schools,5,455
2020 - 2021,DIV,Prince George County Public Schools,6,480
2020 - 2021,DIV,Prince George County Public Schools,7,490
2020 - 2021,DIV,Prince George County Public Schools,8,506
2020 - 2021,DIV,Prince George County Public Schools,9,513
2020 - 2021,DIV,Prince George County Public Schools,10,425
2020 - 2021,DIV,Prince George County Public Schools,11,467
2020 - 2021,DIV,Prince George County Public Schools,12,397
2020 - 2021,DIV,Prince William County Public Schools,,89577
2020 - 2021,DIV,Prince William County Public Schools,PK,1373
2020 - 2021,DIV,Prince William County Public Schools,KG,5567
2020 - 2021,DIV,Prince William County Public Schools,1,6303
2020 - 2021,DIV,Prince William County Public Schools,2,6511
2020 - 2021,DIV,Prince William County Public Schools,3,6595
2020 - 2021,DIV,Prince William County Public Schools,4,6621
2020 - 2021,DIV,Prince William County Public Schools,5,6741
2020 - 2021,DIV,Prince William County Public Schools,6,6953
2020 - 2021,DIV,Prince William County Public Schools,7,6919
2020 - 2021,DIV,Prince William County Public Schools,8,7155
2020 - 2021,DIV,Prince William County Public Schools,9,7670
2020 - 2021,DIV,Prince William County Public Schools,10,7393
2020 - 2021,DIV,Prince William County Public Schools,11,7008
2020 - 2021,DIV,Prince William County Public Schools,12,6768
2020 - 2021,DIV,Pulaski County Public Schools,,4010
2020 - 2021,DIV,Pulaski County Public Schools,PK,122
2020 - 2021,DIV,Pulaski County Public Schools,KG,270
2020 - 2021,DIV,Pulaski County Public Schools,1,297
2020 - 2021,DIV,Pulaski County Public Schools,2,323
2020 - 2021,DIV,Pulaski County Public Schools,3,294
2020 - 2021,DIV,Pulaski County Public Schools,4,266
2020 - 2021,DIV,Pulaski County Public Schools,5,287
2020 - 2021,DIV,Pulaski County Public Schools,6,295
2020 - 2021,DIV,Pulaski County Public Schools,7,332
2020 - 2021,DIV,Pulaski County Public Schools,8,299
2020 - 2021,DIV,Pulaski County Public Schools,9,316
2020 - 2021,DIV,Pulaski County Public Schools,10,327
2020 - 2021,DIV,Pulaski County Public Schools,11,315
2020 - 2021,DIV,Pulaski County Public Schools,12,267
2020 - 2021,DIV,Radford City Public Schools,,2520
2020 - 2021,DIV,Radford City Public Schools,PK,53
2020 - 2021,DIV,Radford City Public Schools,KG,292
2020 - 2021,DIV,Radford City Public Schools,1,213
2020 - 2021,DIV,Radford City Public Schools,2,192
2020 - 2021,DIV,Radford City Public Schools,3,202
2020 - 2021,DIV,Radford City Public Schools,4,200
2020 - 2021,DIV,Radford City Public Schools,5,173
2020 - 2021,DIV,Radford City Public Schools,6,211
2020 - 2021,DIV,Radford City Public Schools,7,197
2020 - 2021,DIV,Radford City Public Schools,8,212
2020 - 2021,DIV,Radford City Public Schools,9,180
2020 - 2021,DIV,Radford City Public Schools,10,156
2020 - 2021,DIV,Radford City Public Schools,11,121
2020 - 2021,DIV,Radford City Public Schools,12,118
2020 - 2021,DIV,Rappahannock County Public Schools,,766
2020 - 2021,DIV,Rappahannock County Public Schools,PK,31
2020 - 2021,DIV,Rappahannock County Public Schools,KG,55
2020 - 2021,DIV,Rappahannock County Public Schools,1,52
2020 - 2021,DIV,Rappahannock County Public Schools,2,50
2020 - 2021,DIV,Rappahannock County Public Schools,3,45
2020 - 2021,DIV,Rappahannock County Public Schools,4,58
2020 - 2021,DIV,Rappahannock County Public Schools,5,61
2020 - 2021,DIV,Rappahannock County Public Schools,6,50
2020 - 2021,DIV,Rappahannock County Public Schools,7,60
2020 - 2021,DIV,Rappahannock County Public Schools,8,59
2020 - 2021,DIV,Rappahannock County Public Schools,9,60
2020 - 2021,DIV,Rappahannock County Public Schools,10,54
2020 - 2021,DIV,Rappahannock County Public Schools,11,72
2020 - 2021,DIV,Rappahannock County Public Schools,12,59
2020 - 2021,DIV,Richmond City Public Schools,,28240
2020 - 2021,DIV,Richmond City Public Schools,PG,14
2020 - 2021,DIV,Richmond City Public Schools,PK,1012
2020 - 2021,DIV,Richmond City Public Schools,KG,2209
2020 - 2021,DIV,Richmond City Public Schools,1,2343
2020 - 2021,DIV,Richmond City Public Schools,2,2241
2020 - 2021,DIV,Richmond City Public Schools,3,2473
2020 - 2021,DIV,Richmond City Public Schools,4,2297
2020 - 2021,DIV,Richmond City Public Schools,5,2296
2020 - 2021,DIV,Richmond City Public Schools,6,2253
2020 - 2021,DIV,Richmond City Public Schools,7,2257
2020 - 2021,DIV,Richmond City Public Schools,8,2206
2020 - 2021,DIV,Richmond City Public Schools,9,1810
2020 - 2021,DIV,Richmond City Public Schools,10,1961
2020 - 2021,DIV,Richmond City Public Schools,11,1551
2020 - 2021,DIV,Richmond City Public Schools,12,1317
2020 - 2021,DIV,Richmond County Public Schools,,1306
2020 - 2021,DIV,Richmond County Public Schools,PK,43
2020 - 2021,DIV,Richmond County Public Schools,KG,94
2020 - 2021,DIV,Richmond County Public Schools,1,88
2020 - 2021,DIV,Richmond County Public Schools,2,85
2020 - 2021,DIV,Richmond County Public Schools,3,88
2020 - 2021,DIV,Richmond County Public Schools,4,106
2020 - 2021,DIV,Richmond County Public Schools,5,91
2020 - 2021,DIV,Richmond County Public Schools,6,92
2020 - 2021,DIV,Richmond County Public Schools,7,119
2020 - 2021,DIV,Richmond County Public Schools,8,108
2020 - 2021,DIV,Richmond County Public Schools,9,104
2020 - 2021,DIV,Richmond County Public Schools,10,93
2020 - 2021,DIV,Richmond County Public Schools,11,107
2020 - 2021,DIV,Richmond County Public Schools,12,88
2020 - 2021,DIV,Roanoke City Public Schools,,13854
2020 - 2021,DIV,Roanoke City Public Schools,PK,636
2020 - 2021,DIV,Roanoke City Public Schools,KG,1004
2020 - 2021,DIV,Roanoke City Public Schools,1,1088
2020 - 2021,DIV,Roanoke City Public Schools,2,1076
2020 - 2021,DIV,Roanoke City Public Schools,3,1069
2020 - 2021,DIV,Roanoke City Public Schools,4,1045
2020 - 2021,DIV,Roanoke City Public Schools,5,1045
2020 - 2021,DIV,Roanoke City Public Schools,6,997
2020 - 2021,DIV,Roanoke City Public Schools,7,1099
2020 - 2021,DIV,Roanoke City Public Schools,8,1053
2020 - 2021,DIV,Roanoke City Public Schools,9,1062
2020 - 2021,DIV,Roanoke City Public Schools,10,990
2020 - 2021,DIV,Roanoke City Public Schools,11,900
2020 - 2021,DIV,Roanoke City Public Schools,12,790
2020 - 2021,DIV,Roanoke County Public Schools,,13692
2020 - 2021,DIV,Roanoke County Public Schools,PK,355
2020 - 2021,DIV,Roanoke County Public Schools,KG,882
2020 - 2021,DIV,Roanoke County Public Schools,1,884
2020 - 2021,DIV,Roanoke County Public Schools,2,962
2020 - 2021,DIV,Roanoke County Public Schools,3,912
2020 - 2021,DIV,Roanoke County Public Schools,4,959
2020 - 2021,DIV,Roanoke County Public Schools,5,1040
2020 - 2021,DIV,Roanoke County Public Schools,6,1049
2020 - 2021,DIV,Roanoke County Public Schools,7,1105
2020 - 2021,DIV,Roanoke County Public Schools,8,1128
